FISCAL_YEAR_NAME,BC AREA NAME,REGIONAL DISTRICT NAME,PRODUCT CLASS NAME,SALE VOLUME (LITRES),RETAIL AMT ($)
Fiscal 2009/10,Thompson Okanagan,Okanagan-Similkameen Regional District,REFRESHMENT BEVERAGE,"333,474.13","1,523,260.07"
Fiscal 2009/10,Thompson Okanagan,Okanagan-Similkameen Regional District,SPIRITS,"343,894.99","10,041,743.91"
Fiscal 2009/10,Thompson Okanagan,Okanagan-Similkameen Regional District,WINE,"754,607.61","8,732,484.92"
Fiscal 2009/10,Thompson Okanagan,Thompson-Nicola Regional District,BEER,"3,468,697.24","14,122,271.08"
Fiscal 2009/10,Thompson Okanagan,Thompson-Nicola Regional District,REFRESHMENT BEVERAGE,"407,390.38","1,914,550.83"
Fiscal 2009/10,Thompson Okanagan,Thompson-Nicola Regional District,SPIRITS,"446,931.73","13,184,991.75"
Fiscal 2009/10,Thompson Okanagan,Thompson-Nicola Regional District,WINE,"801,992.88","9,678,572.27"
Fiscal 2009/10,Vancouver Island and Coast,Alberni-Clayoquot Regional District,BEER,"1,152,235.60","4,576,493.83"
Fiscal 2009/10,Vancouver Island and Coast,Alberni-Clayoquot Regional District,REFRESHMENT BEVERAGE,"117,324.39","536,189.01"
Fiscal 2009/10,Vancouver Island and Coast,Alberni-Clayoquot Regional District,SPIRITS,"113,828.40","3,344,059.91"
Fiscal 2009/10,Vancouver Island and Coast,Alberni-Clayoquot Regional District,WINE,"238,264.88","2,722,921.33"
Fiscal 2009/10,Vancouver Island and Coast,Capital Regional District,BEER,"6,327,241.60","26,365,989.89"
Fiscal 2009/10,Vancouver Island and Coast,Capital Regional District,REFRESHMENT BEVERAGE,"832,177.24","3,713,295.73"
Fiscal 2009/10,Vancouver Island and Coast,Capital Regional District,SPIRITS,"971,265.57","29,826,907.40"
Fiscal 2009/10,Vancouver Island and Coast,Capital Regional District,WINE,"3,087,970.15","39,912,817.92"
Fiscal 2009/10,Vancouver Island and Coast,Central Coast Regional District,BEER,"149,700.07","608,379.49"
Fiscal 2009/10,Vancouver Island and Coast,Central Coast Regional District,REFRESHMENT BEVERAGE,"20,525.37","90,998.37"
Fiscal 2009/10,Vancouver Island and Coast,Central Coast Regional District,SPIRITS,"14,776.46","423,934.21"
Fiscal 2009/10,Vancouver Island and Coast,Central Coast Regional District,WINE,"19,004.43","201,777.24"
Fiscal 2009/10,Vancouver Island and Coast,Comox Valley Regional District,BEER,"846,927.24","3,523,626.93"
Fiscal 2009/10,Vancouver Island and Coast,Comox Valley Regional District,REFRESHMENT BEVERAGE,"116,548.01","527,425.84"
Fiscal 2009/10,Vancouver Island and Coast,Comox Valley Regional District,SPIRITS,"154,604.20","4,661,129.77"
Fiscal 2009/10,Vancouver Island and Coast,Comox Valley Regional District,WINE,"453,893.18","5,325,464.72"
Fiscal 2009/10,Vancouver Island and Coast,Cowichan Valley Regional District,BEER,"1,554,231.57","6,246,451.73"
